,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Unnamed: 2,Median Income,Median Income Error,Civilian Labor Force,Employed,Unemployed,% Change Pop,% Unemployment
0,14000US17031230600,"Census Tract 2306, Cook, IL",6606,748,7561,6818,17031230600,34716,3940,3091,2457,634,-12.630604417405106,20.511161436428342
1,14000US17031231200,"Census Tract 2312, Cook, IL",6138,647,7500,6095,17031231200,29120,8497,2636,2295,341,-18.16,12.93626707132018
2,14000US17031231500,"Census Tract 2315, Cook, IL",6699,1229,7624,6039,17031231500,28013,6082,2444,2105,339,-12.132738719832108,13.870703764320785
3,14000US17031251300,"Census Tract 2513, Cook, IL",4446,522,6255,4921,17031251300,29255,3821,1960,1539,421,-28.92086330935252,21.479591836734695
4,14000US17031251500,"Census Tract 2515, Cook, IL",4194,620,5475,4784,17031251500,21567,6339,1804,1375,429,-23.397260273972602,23.78048780487805
5,14000US17031251800,"Census Tract 2518, Cook, IL",5275,670,6320,5112,17031251800,23295,7550,1922,1557,365,-16.53481012658228,18.99063475546306
6,14000US17031251900,"Census Tract 2519, Cook, IL",4862,721,7456,5731,17031251900,20092,2502,1821,1286,535,-34.79077253218884,29.379461834157055
7,14000US17031260200,"Census Tract 2602, Cook, IL",1223,268,1455,1136,17031260200,33750,12220,441,351,90,-15.945017182130583,20.408163265306122
8,14000US17031260600,"Census Tract 2606, Cook, IL",1989,435,3374,2478,17031260600,20882,5029,574,393,181,-41.049199762892705,31.53310104529617
9,14000US17031270500,"Census Tract 2705, Cook, IL",1690,257,1346,1689,17031270500,16103,5104,648,497,151,25.557206537890043,23.30246913580247
10,14000US17031271200,"Census Tract 2712, Cook, IL",1214,203,1321,1170,17031271200,26098,4047,371,304,67,-8.0999242997729,18.059299191374663
11,14000US17031271300,"Census Tract 2713, Cook, IL",1261,247,1242,1045,17031271300,24878,22262,465,380,85,1.529790660225443,18.27956989247312
12,14000US17031271800,"Census Tract 2718, Cook, IL",783,275,1228,970,17031271800,16477,3083,201,167,34,-36.237785016286644,16.91542288557214
13,14000US17031280400,"Census Tract 2804, Cook, IL",1715,330,1450,1366,17031280400,35275,20006,647,542,105,18.275862068965516,16.228748068006183
14,14000US17031280900,"Census Tract 2809, Cook, IL",1014,154,1244,942,17031280900,19485,4584,457,321,136,-18.488745980707396,29.75929978118162
15,14000US17031290900,"Census Tract 2909, Cook, IL",4076,450,4606,4530,17031290900,24071,5542,1531,1029,502,-11.506730351715154,32.78902677988243
16,14000US17031291200,"Census Tract 2912, Cook, IL",2664,353,3054,2240,17031291200,24650,6411,1048,756,292,-12.770137524557956,27.86259541984733
17,14000US17031292200,"Census Tract 2922, Cook, IL",2922,393,3195,2961,17031292200,31902,10875,1070,786,284,-8.544600938967136,26.542056074766357
18,14000US17031292500,"Census Tract 2925, Cook, IL",4070,523,5575,4140,17031292500,40324,6440,1797,1435,362,-26.99551569506726,20.144685587089594
19,14000US17031301200,"Census Tract 3012, Cook, IL",3435,469,4961,4012,17031301200,26076,1861,1407,1211,196,-30.759927433985084,13.930348258706468
20,14000US17031340600,"Census Tract 3406, Cook, IL",995,198,1310,907,17031340600,11622,2053,334,184,150,-24.045801526717558,44.91017964071856
